system,case_family,case_id,dr_mode,dr_energy_hours,dr_avail_hours_et,dr_fraction,borrow_mw,neue_ppm,eue_mean_mwh,eue_stderr_mwh,is_anchor,ref_base_neue_ppm,reduction,frac_of_achievable,frac_of_dc_penalty_recovered,marginal_return_per_fraction,marginal_return_per_mw,cumulative_return_per_mw
ercot,shift_4h_all,shift_4h_all_0.30,shift,4.0,[],0.3,2690.0,66.6038661035742,742846.1259999999,2579.6016105024887,False,1.0054261356271128,5.516834934832161,0.5147152848663782,0.07757594894168873,14.67188116291425,0.0016374867369323936,0.0020508680055138146
ercot,shift_4h_all,shift_4h_all_0.40,shift,4.0,[],0.4,3588.0,65.40098468402583,729430.151,2582.7107146038497,False,1.0054261356271128,6.719716354380537,0.6269429407301025,0.09449047850222013,12.028814195483758,0.0013395116030605525,0.0018728306450335945
ercot,shift_4h_all,shift_4h_all_0.50,shift,4.0,[],0.5,4483.0,64.40294253471748,718298.7889999999,2586.2106585637894,False,1.0054261356271128,7.717758503688884,0.7200592937220063,0.10852462448102367,9.98042149308347,0.001115130893081952,0.0017215611206087182
ercot,shift_4h_all,shift_4h_all_0.60,shift,4.0,[],0.6,5380.0,63.56744326788329,708980.3,2591.5913427077185,False,1.0054261356271128,8.553257770523075,0.7980105553084279,0.12027314500599373,8.35499266834191,0.0009314373097371134,0.0015898248644094935
ercot,shift_4h_all,shift_4h_all_0.70,shift,4.0,[],0.7,6277.0,62.87214880673433,701225.543,2594.430050738375,False,1.0054261356271128,9.248552231672036,0.8628808461298425,0.1300501508897436,6.952944611489615,0.0007751331785384184,0.0014734032550059004
ercot,shift_4h_all,shift_4h_all_0.80,shift,4.0,[],0.8,7174.0,62.32221265060504,695091.996,2594.987287459432,False,1.0054261356271128,9.798488387801328,0.9141893497563011,0.13778317529105683,5.49936156129291,0.0006130837860973149,0.0013658333409257495
ercot,shift_4h_all,shift_4h_all_0.90,shift,4.0,[],0.9,8072.0,61.83929054552163,689705.8700000001,2597.155248606919,False,1.0054261356271128,10.281410492884739,0.9592455081917974,0.14457386977608283,4.829221050834108,0.0005377751726986757,0.0012737128955506367
ercot,shift_4h_all,shift_4h_all_1.00,shift,4.0,[],1.0,8968.0,61.40247467708051,684833.976,2600.730163082397,False,1.0054261356271128,10.718226361325854,1.0,0.15071623327025874,4.368158684411157,0.00048751771031374513,0.0011951635104065403
ercot,shift_8h_all,baseline_with_load_added,shift,8.0,[],0.0,0.0,72.12070103840637,804376.48,2632.7467287248155,True,1.0054261356271128,0.0,0.0,0.0,,,
ercot,shift_8h_all,shift_8h_all_0.05,shift,8.0,[],0.05,449.0,70.65856716740845,788069.0109999999,2583.617949011683,False,1.0054261356271128,1.462133870997917,0.0920145956782957,0.020560053701497757,29.24267741995834,0.0032564228752737573,0.0032564228752737573
ercot,shift_8h_all,shift_8h_all_0.10,shift,8.0,[],0.1,897.0,69.27417610855377,772628.6230000001,2569.313034957102,False,1.0054261356271128,2.846524929852592,0.17913670266718582,0.04002691311738636,27.687821177093497,0.003090158613514899,0.003173383422355175
ercot,shift_8h_all,shift_8h_all_0.20,shift,8.0,[],0.2,1794.0,66.85579285365772,745655.915,2540.810305273724,False,1.0054261356271128,5.2649081847486485,0.3313297144073115,0.07403343644450837,24.183832548960567,0.002696079436896384,0.0029347314296257797
ercot,shift_8h_all,shift_8h_all_0.30,shift,8.0,[],0.3,2690.0,64.81823533922595,722930.632,2525.1880540305897,False,1.0054261356271128,7.302465699180416,0.45955670824184486,0.10268491135221681,20.375575144317683,0.0022740597259283124,0.0027146712636358424
ercot,shift_8h_all,shift_8h_all_0.40,shift,8.0,[],0.4,3588.0,63.07859631521442,703528.0929999999,2517.3940753113648,False,1.0054261356271128,9.042104723191947,0.5690351798070754,0.12714715278192046,17.396390240115302,0.0019372372205028183,0.002520096076697867
ercot,shift_8h_all,shift_8h_all_0.50,shift,8.0,[],0.5,4483.0,61.59265806156947,686955.129,2515.605485655853,False,1.0054261356271128,10.528042976836893,0.6625478261687486,0.1480419360148666,14.859382536449463,0.0016602662051898836,0.002348436978995515
ercot,shift_8h_all,shift_8h_all_0.60,shift,8.0,[],0.6,5380.0,60.27493604061759,672258.314,2517.273907323933,False,1.0054261356271128,11.845764997788777,0.7454743361001002,0.16657131697772337,13.17722020951884,0.0014690323533465815,0.0022018150553510737
ercot,shift_8h_all,shift_8h_all_0.70,shift,8.0,[],0.7,6277.0,59.096038055495534,659109.831,2516.4229928542222,False,1.0054261356271128,13.024662982910833,0.8196644110300572,0.1831485992385838,11.788979851220562,0.0013142675419420915,0.002074982154358903
ercot,shift_8h_all,shift_8h_all_0.80,shift,8.0,[],0.8,7174.0,58.03923903819748,647323.142,2513.450529320833,False,1.0054261356271128,14.081462000208887,0.8861705882130897,0.1980089652955637,10.567990172980535,0.0011781482913021787,0.001962846668554347
ercot,shift_8h_all,shift_8h_all_0.90,shift,8.0,[],0.9,8072.0,57.09520955718017,636794.194,2521.952942088428,False,1.0054261356271128,15.025491481226197,0.9455799847992679,0.2112836025982793,9.440294810173102,0.0010512577739613697,0.0018614335333530967
ercot,shift_8h_all,shift_8h_all_1.00,shift,8.0,[],1.0,8968.0,56.23046253635529,627149.4990000001,2525.206010737076,False,1.0054261356271128,15.890238502051076,1.0,0.2234433955823754,8.647470208248793,0.0009651194428849097,0.0017718820809602004
